-0.21567,	-0.17883,	-0.07722,	-0.03440,	-0.05581,	-0.10378,	-0.04584,	0.02656,	0.12608,	0.12697,	0.13423,	0.22409,	0.23674,	0.03877,	-0.19121,	-0.21543,	-0.21568,	-0.38103,	-0.42068,	-0.24689,	-0.19518,	-0.12840,	0.09891,	0.22920,	0.32550,	0.38034,	0.36114,	0.44784,	0.64954,	0.75121,	0.72330,	0.70278,	0.59607,	0.50376,	0.49137,	0.49215,	0.52453,	0.53853,	0.43256,	0.18852,	-0.01385,	-0.14287,	-0.14232,	0.00446,	0.14380,	0.27232,	0.26679,	0.23998,	0.17095,	0.11345,
-0.27752,	-0.15879,	-0.11458,	-0.09553,	-0.02513,	0.02401,	0.15768,	0.25125,	0.37340,	0.39139,	0.28534,	0.30595,	0.37261,	0.20361,	-0.01760,	-0.05899,	-0.08049,	-0.24523,	-0.35244,	-0.26349,	-0.16674,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.24536,	0.41187,	0.59348,	0.66911,	0.63513,	0.57726,	0.53470,	0.54141,	0.48214,	0.37798,	0.36186,	0.32426,	0.20865,	-0.00574,	-0.13591,	-0.13115,	-0.13950,	-0.08688,	0.05037,	0.16797,	0.15227,	0.15054,	0.08228,	0.01281,
-0.21776,	-0.13799,	-0.10940,	-0.11270,	-0.01749,	0.11499,	0.26030,	0.41086,	0.55941,	0.52477,	0.40341,	0.40873,	0.43626,	0.29467,	0.05162,	-0.05164,	-0.11372,	-0.17488,	-0.13153,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.40432,	0.51303,	0.57091,	0.56376,	0.58729,	0.55035,	0.44187,	0.26000,	0.18204,	0.09052,	-0.04483,	-0.16514,	-0.16655,	-0.11455,	-0.11882,	-0.10816,	-0.05305,	0.06437,	0.08202,	0.05056,	-0.03002,	-0.05993,
0.01717,	0.01509,	0.02036,	-0.03942,	0.00504,	0.18464,	0.37068,	0.56216,	0.68629,	0.60821,	0.50044,	0.48561,	0.37767,	0.15137,	-0.00871,	-0.04333,	-0.05295,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.59229,	0.64440,	0.56612,	0.42745,	0.19444,	0.05447,	-0.07769,	-0.17440,	-0.17335,	-0.08900,	-0.03161,	-0.08757,	-0.12892,	-0.20958,	-0.19598,	-0.05492,	0.04852,	0.00000,	0.00000,
0.24512,	0.13796,	0.05150,	-0.05644,	-0.01556,	0.18930,	0.39239,	0.57662,	0.65240,	0.63829,	0.50660,	0.40866,	0.30343,	0.09700,	-0.03604,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.44159,	0.26256,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	-0.32987,	-0.32495,	0.00000,	0.00000,	0.00000,	1.00000,
0.21496,	0.04036,	-0.04198,	-0.13914,	-0.12497,	0.05813,	0.29419,	0.49865,	0.54360,	0.51148,	0.44463,	0.41253,	0.33619,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,
-0.02098,	-0.05124,	-0.13660,	-0.27937,	-0.27168,	-0.10736,	0.07470,	0.27826,	0.48220,	0.47457,	0.33308,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,
-0.23536,	-0.15586,	-0.24530,	-0.39235,	-0.37779,	-0.22683,	-0.09631,	0.09137,	0.27304,	0.24142,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,
-0.32179,	-0.39770,	-0.50792,	-0.61990,	-0.58619,	-0.37479,	-0.28946,	-0.10724,	0.07213,	0.01416,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	-0.22466,
-0.45332,	-0.60417,	-0.69793,	-0.76837,	-0.73112,	-0.52881,	-0.40075,	-0.25163,	-0.17141,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	-0.37456,	-0.33374,
-0.72602,	-0.77094,	-0.80595,	-0.79553,	-0.73357,	-0.55810,	-0.37608,	-0.39542,	-0.49821,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	0.00000,	-0.55905,	-0.49090,	-0.40338,
